Year of Film Release,Film,Film Studio/Producer(s),is_winner,clean_name
1946 (19th),The Razor's Edge,20th Century-Fox,False,the-razors-edge-1946
1946 (19th),The Yearling,Metro-Goldwyn-Mayer,False,the-yearling-1946
1947 (20th),Gentleman's Agreement,"20th Century-Fox (Darryl F. Zanuck, producer)",True,gentlemans-agreement-1947
1947 (20th),The Bishop's Wife,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",False,the-bishops-wife-1947
1947 (20th),Crossfire,RKO Radio,False,crossfire-1947
1947 (20th),Great Expectations,J. Arthur Rank-Cineguild,False,great-expectations-1947
1947 (20th),Miracle on 34th Street,20th Century-Fox,False,miracle-on-34th-street-1947
1948 (21st),Hamlet,"J. Arthur Rank-Two Cities Films (Laurence Olivier, producer)",True,hamlet-1948
1948 (21st),Johnny Belinda,Warner Bros.,False,johnny-belinda-1948
1948 (21st),The Red Shoes,J. Arthur Rank-Archers,False,the-red-shoes-1948
1948 (21st),The Snake Pit,20th Century-Fox,False,the-snake-pit-1948
1948 (21st),The Treasure of the Sierra Madre,Warner Bros.,False,the-treasure-of-the-sierra-madre-1948
1949 (22nd),All the King's Men,"Columbia (Robert Rossen, producer)",True,all-the-kings-men-1949
1949 (22nd),Battleground,Metro-Goldwyn-Mayer,False,battleground-1949
1949 (22nd),The Heiress,Paramount,False,the-heiress-1949
1949 (22nd),A Letter to Three Wives,20th Century-Fox,False,a-letter-to-three-wives-1949
1949 (22nd),Twelve O'Clock High,20th Century-Fox,False,twelve-oclock-high-1949
1950 (23rd),All About Eve,"20th Century-Fox (Darryl F. Zanuck, producer)",True,all-about-eve-1950
1950 (23rd),Born Yesterday,Columbia,False,born-yesterday-1950
1950 (23rd),Father of the Bride,Metro-Goldwyn-Mayer,False,father-of-the-bride-1950
1950 (23rd),King Solomon's Mines,Metro-Goldwyn-Mayer,False,king-solomons-mines-1950
1950 (23rd),Sunset Boulevard,Paramount,False,sunset-boulevard-1950
1951 (24th),An American in Paris,Arthur Freed,True,an-american-in-paris-1951
1951 (24th),Decision Before Dawn,Anatole Litvak and Frank McCarthy,False,decision-before-dawn-1951
1951 (24th),A Place in the Sun,George Stevens,False,a-place-in-the-sun-1951
1951 (24th),Quo Vadis,Sam Zimbalist,False,quo-vadis-1951
1951 (24th),A Streetcar Named Desire,Charles K. Feldman,False,a-streetcar-named-desire-1951
1952 (25th),The Greatest Show on Earth,Cecil B. DeMille,True,the-greatest-show-on-earth-1952
1952 (25th),High Noon,Stanley Kramer,False,high-noon-1952
1952 (25th),Ivanhoe,Pandro S. Berman,False,ivanhoe-1952
1952 (25th),Moulin Rouge,John and James Woolf,False,moulin-rouge-1952
1952 (25th),The Quiet Man,John Ford and Merian C. Cooper,False,the-quiet-man-1952
1953 (26th),From Here to Eternity,Buddy Adler,True,from-here-to-eternity-1953
1953 (26th),Julius Caesar,John Houseman,False,julius-caesar-1953
1953 (26th),The Robe,Frank Ross,False,the-robe-1953
1953 (26th),Roman Holiday,William Wyler,False,roman-holiday-1953
1953 (26th),Shane,George Stevens,False,shane-1953
1954 (27th),On the Waterfront,Sam Spiegel,True,on-the-waterfront-1954
1954 (27th),The Caine Mutiny,Stanley Kramer,False,the-caine-mutiny-1954
1954 (27th),The Country Girl,William Perlberg,False,the-country-girl-1954
1954 (27th),Seven Brides for Seven Brothers,Jack Cummings,False,seven-brides-for-seven-brothers-1954
1954 (27th),Three Coins in the Fountain,Sol C. Siegel,False,three-coins-in-the-fountain-1954
1955 (28th),Marty,Harold Hecht,True,marty-1955
1955 (28th),Love Is a Many-Splendored Thing,Buddy Adler,False,love-is-a-many-splendored-thing-1955
1955 (28th),Mister Roberts,Leland Hayward,False,mister-roberts-1955
1955 (28th),Picnic,Fred Kohlmar,False,picnic-1955
1955 (28th),The Rose Tattoo,Hal B. Wallis,False,the-rose-tattoo-1955
1956 (29th),Around the World in 80 Days,Michael Todd,True,around-the-world-in-80-days-1956
1956 (29th),Friendly Persuasion,William Wyler,False,friendly-persuasion-1956
1956 (29th),Giant,George Stevens and Henry Ginsberg,False,giant-1956
1956 (29th),The King and I,Charles Brackett,False,the-king-and-i-1956
1956 (29th),The Ten Commandments,Cecil B. DeMille,False,the-ten-commandments-1956
1957 (30th),The Bridge on the River Kwai,Sam Spiegel,True,the-bridge-on-the-river-kwai-1957
1957 (30th),12 Angry Men,Henry Fonda and Reginald Rose,False,12-angry-men-1957
1957 (30th),Peyton Place,Jerry Wald,False,peyton-place-1957
1957 (30th),Sayonara,William Goetz,False,sayonara-1957
1957 (30th),Witness for the Prosecution,Arthur Hornblow Jr.,False,witness-for-the-prosecution-1957
1958 (31st),Gigi,Arthur Freed,True,gigi-1958
1958 (31st),Auntie Mame,Jack L. Warner,False,auntie-mame-1958
1958 (31st),Cat on a Hot Tin Roof,Lawrence Weingarten,False,cat-on-a-hot-tin-roof-1958
1958 (31st),The Defiant Ones,Stanley Kramer,False,the-defiant-ones-1958
1958 (31st),Separate Tables,Harold Hecht,False,separate-tables-1958
1959 (32nd),Ben-Hur,Sam Zimbalist,True,ben-hur-1959
1959 (32nd),Anatomy of a Murder,Otto Preminger,False,anatomy-of-a-murder-1959
1959 (32nd),The Diary of Anne Frank,George Stevens,False,the-diary-of-anne-frank-1959
1959 (32nd),The Nun's Story,Henry Blanke,False,the-nuns-story-1959
1959 (32nd),Room at the Top,John and James Woolf,False,room-at-the-top-1959
1960 (33rd),The Apartment,Billy Wilder,True,the-apartment-1960
1960 (33rd),The Alamo,John Wayne,False,the-alamo-1960
1960 (33rd),Elmer Gantry,Bernard Smith,False,elmer-gantry-1960
1960 (33rd),Sons and Lovers,Jerry Wald,False,sons-and-lovers-1960
1960 (33rd),The Sundowners,Fred Zinnemann,False,the-sundowners-1960
1961 (34th),West Side Story,Robert Wise,True,west-side-story-1961
1961 (34th),Fanny,Joshua Logan,False,fanny-1961
1961 (34th),The Guns of Navarone,Carl Foreman,False,the-guns-of-navarone-1961
1961 (34th),The Hustler,Robert Rossen,False,the-hustler-1961
1961 (34th),Judgment at Nuremberg,Stanley Kramer,False,judgment-at-nuremberg-1961
1962 (35th),Lawrence of Arabia,Sam Spiegel,True,lawrence-of-arabia-1962
1962 (35th),The Longest Day,Darryl F. Zanuck,False,the-longest-day-1962
1962 (35th),The Music Man,Morton DaCosta,False,the-music-man-1962
1962 (35th),Mutiny on the Bounty,Aaron Rosenberg,False,mutiny-on-the-bounty-1962
1962 (35th),To Kill a Mockingbird,Alan J. Pakula,False,to-kill-a-mockingbird-1962
1963 (36th),Tom Jones,Tony Richardson,True,tom-jones-1963
1963 (36th),America America,Elia Kazan,False,america-america-1963
1963 (36th),Cleopatra,Walter Wanger,False,cleopatra-1963
1963 (36th),How the West Was Won,Bernard Smith,False,how-the-west-was-won-1963
1963 (36th),Lilies of the Field,Ralph Nelson,False,lilies-of-the-field-1963
1964 (37th),My Fair Lady,Jack L. Warner,True,my-fair-lady-1964
1964 (37th),Becket,Hal B. Wallis,False,becket-1964
1964 (37th),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,False,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-1964
1964 (37th),Mary Poppins,Walt Disney and Bill Walsh,False,mary-poppins-1964
1964 (37th),Zorba the Greek,Michael Cacoyannis,False,zorba-the-greek-1964
1965 (38th),The Sound of Music,Robert Wise,True,the-sound-of-music-1965
1965 (38th),Darling,Joseph Janni,False,darling-1965
1965 (38th),Doctor Zhivago,Carlo Ponti,False,doctor-zhivago-1965
1965 (38th),Ship of Fools,Stanley Kramer,False,ship-of-fools-1965
1965 (38th),A Thousand Clowns,Fred Coe,False,a-thousand-clowns-1965
1966 (39th),A Man for All Seasons,Fred Zinnemann,True,a-man-for-all-seasons-1966
1966 (39th),Alfie,Lewis Gilbert,False,alfie-1966
1966 (39th),"The Russians Are Coming, the Russians Are Coming",Norman Jewison,False,the-russians-are-coming-the-russians-are-coming-1966
1966 (39th),The Sand Pebbles,Robert Wise,False,the-sand-pebbles-1966
1966 (39th),Who's Afraid of Virginia Woolf?,Ernest Lehman,False,whos-afraid-of-virginia-woolf-1966
1967 (40th),In the Heat of the Night,Walter Mirisch,True,in-the-heat-of-the-night-1967
1967 (40th),Bonnie and Clyde,Warren Beatty,False,bonnie-and-clyde-1967
1967 (40th),Doctor Dolittle,Arthur P. Jacobs,False,doctor-dolittle-1967
1967 (40th),The Graduate,Lawrence Turman,False,the-graduate-1967
1967 (40th),Guess Who's Coming to Dinner,Stanley Kramer,False,guess-whos-coming-to-dinner-1967
1968 (41st),Oliver!,John Woolf,True,oliver-1968
1968 (41st),Funny Girl,Ray Stark,False,funny-girl-1968
1968 (41st),The Lion in Winter,Martin Poll,False,the-lion-in-winter-1968
1968 (41st),"Rachel, Rachel",Paul Newman,False,rachel-rachel-1968
1968 (41st),Romeo and Juliet,Anthony Havelock-Allan and John Brabourne,False,romeo-and-juliet-1968
1969 (42nd),Midnight Cowboy,Jerome Hellman,True,midnight-cowboy-1969
1969 (42nd),Anne of the Thousand Days,Hal B. Wallis,False,anne-of-the-thousand-days-1969
1969 (42nd),Butch Cassidy and the Sundance Kid,John Foreman,False,butch-cassidy-and-the-sundance-kid-1969
1969 (42nd),"Hello, Dolly!",Ernest Lehman,False,hello-dolly-1969
1969 (42nd),Z,Jacques Perrin and Ahmed Rachedi,False,z-1969
1970 (43rd),Patton,Frank McCarthy,True,patton-1970
1970 (43rd),Airport,Ross Hunter,False,airport-1970
1970 (43rd),Five Easy Pieces,Bob Rafelson and Richard Wechsler,False,five-easy-pieces-1970
1970 (43rd),Love Story,Howard G. Minsky,False,love-story-1970
1970 (43rd),M*A*S*H,Ingo Preminger,False,mash-1970
1971 (44th),The French Connection,Philip D'Antoni,True,the-french-connection-1971
1971 (44th),A Clockwork Orange,Stanley Kubrick,False,a-clockwork-orange-1971
1971 (44th),Fiddler on the Roof,Norman Jewison,False,fiddler-on-the-roof-1971
1971 (44th),The Last Picture Show,Stephen J. Friedman,False,the-last-picture-show-1971
1971 (44th),Nicholas and Alexandra,Sam Spiegel,False,nicholas-and-alexandra-1971
1972 (45th),The Godfather,Albert S. Ruddy,True,the-godfather-1972
1972 (45th),Cabaret,Cy Feuer,False,cabaret-1972
1972 (45th),Deliverance,John Boorman,False,deliverance-1972
1972 (45th),The Emigrants,Bengt Forslund,False,the-emigrants-1972
1972 (45th),Sounder,Robert B. Radnitz,False,sounder-1972
1973 (46th),The Sting,"Tony Bill, Michael Phillips, and Julia Phillips",True,the-sting-1973
1973 (46th),American Graffiti,Francis Ford Coppola and Gary Kurtz,False,american-graffiti-1973
1973 (46th),Cries and Whispers,Ingmar Bergman,False,cries-and-whispers-1973
1973 (46th),The Exorcist,William Peter Blatty,False,the-exorcist-1973
1973 (46th),A Touch of Class,Melvin Frank,False,a-touch-of-class-1973
1974 (47th),The Godfather Part II,"Francis Ford Coppola, Gray Frederickson, and Fred Roos",True,the-godfather-part-ii-1974
1974 (47th),Chinatown,Robert Evans,False,chinatown-1974
1974 (47th),The Conversation,Francis Ford Coppola,False,the-conversation-1974
1974 (47th),Lenny,Marvin Worth,False,lenny-1974
1974 (47th),The Towering Inferno,Irwin Allen,False,the-towering-inferno-1974
1975 (48th),One Flew Over the Cuckoo's Nest,Michael Douglas and Saul Zaentz,True,one-flew-over-the-cuckoos-nest-1975
1975 (48th),Barry Lyndon,Stanley Kubrick,False,barry-lyndon-1975
1975 (48th),Dog Day Afternoon,Martin Bregman and Martin Elfand,False,dog-day-afternoon-1975
1975 (48th),Jaws,Richard D. Zanuck and David Brown,False,jaws-1975
1975 (48th),Nashville,Robert Altman,False,nashville-1975
1976 (49th),Rocky,Irwin Winkler and Robert Chartoff,True,rocky-1976
1976 (49th),All the President's Men,Walter Coblenz,False,all-the-presidents-men-1976
1976 (49th),Bound for Glory,Robert F. Blumofe and Harold Leventhal,False,bound-for-glory-1976
1976 (49th),Network,Howard Gottfried,False,network-1976
1976 (49th),Taxi Driver,Michael Phillips and Julia Phillips,False,taxi-driver-1976
1977 (50th),Annie Hall,Charles H. Joffe,True,annie-hall-1977
1977 (50th),The Goodbye Girl,Ray Stark,False,the-goodbye-girl-1977
1977 (50th),Julia,Richard Roth,False,julia-1977
1977 (50th),Star Wars,Gary Kurtz,False,star-wars-1977
1977 (50th),The Turning Point,Herbert Ross and Arthur Laurents,False,the-turning-point-1977
1978 (51st),The Deer Hunter,"Barry Spikings, Michael Deeley, Michael Cimino, and John Peverall",True,the-deer-hunter-1978
1978 (51st),Coming Home,Jerome Hellman,False,coming-home-1978
1978 (51st),Heaven Can Wait,Warren Beatty,False,heaven-can-wait-1978
1978 (51st),Midnight Express,Alan Marshall and David Puttnam,False,midnight-express-1978
1978 (51st),An Unmarried Woman,Paul Mazursky and Anthony Ray,False,an-unmarried-woman-1978
1979 (52nd),Kramer vs. Kramer,Stanley R. Jaffe,True,kramer-vs-kramer-1979
1979 (52nd),All That Jazz,Robert Alan Aurthur,False,all-that-jazz-1979
1979 (52nd),Apocalypse Now,"Francis Ford Coppola, Fred Roos, Gray Frederickson, and Tom Sternberg",False,apocalypse-now-1979
1979 (52nd),Breaking Away,Peter Yates,False,breaking-away-1979
1979 (52nd),Norma Rae,Tamara Asseyev and Alex Rose,False,norma-rae-1979
1980 (53rd),Ordinary People,Ronald L. Schwary,True,ordinary-people-1980
1980 (53rd),Coal Miner's Daughter,Bernard Schwartz,False,coal-miners-daughter-1980
1980 (53rd),The Elephant Man,Jonathan Sanger,False,the-elephant-man-1980
1980 (53rd),Raging Bull,Irwin Winkler and Robert Chartoff,False,raging-bull-1980
1980 (53rd),Tess,Claude Berri and Timothy Burrill,False,tess-1980
1981 (54th),Chariots of Fire,David Puttnam,True,chariots-of-fire-1981
1981 (54th),Atlantic City,Denis Héroux,False,atlantic-city-1981
