year,Film,url_tried,rating,keywords,stars,user_reviews,critic_reviews,metascore,cast_number,longitud,imdb_url,url_used,found,error
1932.0,Grand Hotel,https://letterboxd.com/film/grand-hotel-1931,7.3,"['Tragic Romance', 'Drama', 'Romance']",['Greta GarboJohn BarrymoreJoan Crawford'],165,96.0,79.0,49,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0022958/,https://letterboxd.com/film/grand-hotel,True,
1931.0,Arrowsmith,https://letterboxd.com/film/arrowsmith-1931,6.2,['Drama'],['Ronald ColmanHelen HayesRichard Bennett'],49,28.0,,47,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0021622/,https://letterboxd.com/film/arrowsmith,True,
1931.0,Bad Girl,https://letterboxd.com/film/bad-girl-1931,6.4,"['Drama', 'Romance']",['James DunnSally EilersMinna Gombell'],29,19.0,,20,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0021635/,https://letterboxd.com/film/bad-girl,True,
1931.0,The Champ,https://letterboxd.com/film/the-champ-1931,6.2,"['Animation', 'Short']",[],2,1.0,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0161423/,https://letterboxd.com/film/the-champ-1931,True,
1931.0,Five Star Final,https://letterboxd.com/film/five-star-final-1931,7.3,"['Workplace Drama', 'Crime', 'Drama']",['Edward G. RobinsonMarian MarshH.B. Warner'],65,38.0,,25,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0021873/,https://letterboxd.com/film/five-star-final,True,
1932.0,One Hour with You,https://letterboxd.com/film/one-hour-with-you-1931,7.0,"['Comedy', 'Musical', 'Romance']",['Maurice ChevalierJeanette MacDonaldGenevieve Tobin'],38,34.0,,33,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0023303/,https://letterboxd.com/film/one-hour-with-you,True,
1932.0,Shanghai Express,https://letterboxd.com/film/shanghai-express-1931,7.3,"['Costume Drama', 'Film Noir', 'Tragic Romance', 'Adventure', 'Drama', 'Romance']",['Marlene DietrichClive BrookAnna May Wong'],94,62.0,83.0,26,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0023458/,https://letterboxd.com/film/shanghai-express,True,
1931.0,The Smiling Lieutenant,https://letterboxd.com/film/the-smiling-lieutenant-1931,7.1,"['Comedy', 'Musical', 'Romance']",['Maurice ChevalierClaudette ColbertMiriam Hopkins'],49,30.0,,18,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0022074/,https://letterboxd.com/film/the-smiling-lieutenant,True,
1933.0,Cavalcade,https://letterboxd.com/film/cavalcade-1932,5.8,"['Period Drama', 'Tragic Romance', 'Drama', 'Romance', 'War']","[""Diana WynyardClive BrookUna O'Connor""]",69,47.0,73.0,53,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0023876/,https://letterboxd.com/film/cavalcade,True,
1933.0,42nd Street,https://letterboxd.com/film/42nd-street-1932,7.3,"['Romantic Comedy', 'Comedy', 'Drama', 'Musical', 'Romance']",['Warner BaxterBebe DanielsGeorge Brent'],143,81.0,83.0,99+,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0024034/,https://letterboxd.com/film/42nd-street,True,
1932.0,A Farewell to Arms,https://letterboxd.com/film/a-farewell-to-arms-1932,6.4,"['Drama', 'Romance', 'War']",['Gary CooperHelen HayesAdolphe Menjou'],87,50.0,,23,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0022879/,https://letterboxd.com/film/a-farewell-to-arms,True,
1932.0,I Am a Fugitive from a Chain Gang,https://letterboxd.com/film/i-am-a-fugitive-from-a-chain-gang-1932,8.2,"['Film Noir', 'Prison Drama', 'Tragedy', 'True Crime', 'Crime', 'Drama']",['Paul MuniGlenda FarrellHelen Vinson'],465,51.0,,50,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0023042/,https://letterboxd.com/film/i-am-a-fugitive-from-a-chain-gang,True,
1933.0,Lady for a Day,https://letterboxd.com/film/lady-for-a-day-1932,7.4,"['Farce', 'Comedy', 'Drama']",['Warren WilliamMay RobsonGuy Kibbee'],54,29.0,,51,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0024240/,https://letterboxd.com/film/lady-for-a-day,True,
1933.0,The Private Life of Henry VIII,https://letterboxd.com/film/the-private-life-of-henry-viii-1932,7.0,"['Period Drama', 'Biography', 'Drama', 'History']",['Charles LaughtonRobert DonatFranklin Dyall'],64,41.0,,27,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0024473/,https://letterboxd.com/film/the-private-life-of-henry-viii,True,
1933.0,She Done Him Wrong,https://letterboxd.com/film/she-done-him-wrong-1932,6.3,"['Romantic Comedy', 'Comedy', 'Drama', 'History', 'Musical', 'Romance']",['Mae WestCary GrantOwen Moore'],85,54.0,,41,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0024548/,https://letterboxd.com/film/she-done-him-wrong,True,
1932.0,Smilin' Through,https://letterboxd.com/film/smilin-through-1932,6.8,"['French', 'Drama', 'Romance']",['Norma ShearerFredric MarchLeslie Howard'],33,12.0,,14,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0023488/,https://letterboxd.com/film/smilin-through,True,
1933.0,State Fair,https://letterboxd.com/film/state-fair-1932,6.7,"['Comedy', 'Drama', 'Romance']",['Janet GaynorWill RogersLew Ayres'],27,17.0,,20,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0024610/,https://letterboxd.com/film/state-fair,True,
1934.0,It Happened One Night,https://letterboxd.com/film/it-happened-one-night-1934,8.1,"['Road Trip', 'Romantic Comedy', 'Screwball Comedy', 'Comedy', 'Romance']",['Clark GableClaudette ColbertWalter Connolly'],408,140.0,87.0,90,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0025316/,https://letterboxd.com/film/it-happened-one-night,True,
1934.0,The Barretts of Wimpole Street,https://letterboxd.com/film/the-barretts-of-wimpole-street-1934,6.9,"['Biography', 'Drama', 'Romance']",['Norma ShearerFredric MarchCharles Laughton'],40,12.0,,21,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0024865/,https://letterboxd.com/film/the-barretts-of-wimpole-street,True,
1934.0,Flirtation Walk,https://letterboxd.com/film/flirtation-walk-1934,5.6,"['Classic Musical', 'Musical']","[""Dick PowellRuby KeelerPat O'Brien""]",15,13.0,,38,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0025124/,https://letterboxd.com/film/flirtation-walk,True,
1934.0,The Gay Divorcee,https://letterboxd.com/film/the-gay-divorcee-1934,7.3,"['Screwball Comedy', 'Comedy', 'Musical', 'Romance']",['Fred AstaireGinger RogersAlice Brady'],90,50.0,80.0,59,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0025164/,https://letterboxd.com/film/the-gay-divorcee,True,
